genome	mols	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	cnt_match
BGC0001341	BGC0000453	0.807959922070693	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	2
BGC0000378	BGC0000453	0.05351848962396629	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001695	BGC0000453	0.10170684497624496	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0000342	BGC0000416.3	0.3101145038167939	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0001393	BGC0000453	0.5439212930428671	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	2
BGC0001341	BGC0000416.3	0.15669357083217367	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0001312	BGC0000416.3	0.021238485158648908	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0001393	BGC0000416.3	0.5892480674631062	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0001312	BGC0000307	0.028659160696008185	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001393	BGC0000307	0.2016865776528461	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0000306	BGC0000307	0.05521739130434786	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0000463	BGC0000307	0.0012189547463050106	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000413	BGC0000386.1	0.07416967819652381	-0.18562329390354873	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0001312	BGC0001402.2	0.029682702149437034	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000463	BGC0000367	0.13179948194423277	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001312	BGC0000399.1	0.6120777891504606	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	10
BGC0000463	BGC0000399.1	0.41154959622124015	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001393	BGC0000464.1	0.007027406886858779	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	14
BGC0000463	BGC0000464.1	0.04997714459850675	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	14
BGC0001312	BGC0001290.2	0.1269191402251791	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0001393	BGC0001290.2	0.17849613492621222	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0001312	BGC0001346.3	0.20419651995905833	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0000463	BGC0001346.3	0.033825994209964905	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000378	BGC0001825	0.1619597441098455	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0000342	BGC0001214.2	0.09064885496183199	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0000306	BGC0001825	0.2241304347826087	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001562	BGC0001214.2	0.010223298358891594	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001312	BGC0001214.2	0.14790174002047085	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0000342	BGC0001214.4	0.09064885496183199	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001562	BGC0001214.4	0.12133440947000271	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0000310	BGC0001214.2	0.05431937172774866	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001312	BGC0001214.4	0.19319344933469806	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0000413	BGC0001214.2	0.000688349681638269	-0.42584167424931757	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001393	BGC0001214.4	0.23717498243148277	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0000463	BGC0001214.4	0.010970592716745366	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000413	BGC0001214.4	0.000688349681638269	-0.42584167424931757	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001657	BGC0000413	0.05308690523004325	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001341	BGC0001695	0.038686334539382146	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	2
BGC0000413	BGC0000413	0.0986060918946825	-0.32484076433121023	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	4
BGC0001695	BGC0001695	0.5014956888967096	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	2
BGC0000342	BGC0001214.5	0.09064885496183199	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001562	BGC0001214.5	0.12133440947000271	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001312	BGC0001214.5	0.19319344933469806	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001393	BGC0001214.5	0.0920590302178496	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001312	BGC0000399.2	0.6120777891504606	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	10
BGC0000413	BGC0001214.5	0.000688349681638269	-0.42584167424931757	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000310	BGC0001214.5	0.0002617801047120218	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0000463	BGC0000399.2	0.41154959622124015	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001312	BGC0001346.1	0.20419651995905833	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0000463	BGC0001346.1	0.033825994209964905	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001312	BGC0000433	0.06960081883316273	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001393	BGC0000433	0.13738580463808853	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001312	BGC0001402.1	0.029682702149437034	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001312	BGC0001346.2	0.20419651995905833	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0000463	BGC0001346.2	0.033825994209964905	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000342	BGC0001214.6	0.09064885496183199	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001562	BGC0001214.6	0.010223298358891594	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001312	BGC0001214.6	0.14790174002047085	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0000306	BGC0001370.1	0.09695652173913046	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	13
BGC0000413	BGC0001214.6	0.000688349681638269	-0.42584167424931757	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000310	BGC0001214.6	0.05431937172774866	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001312	BGC0001312	0.8822927328556806	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	9
BGC0000378	BGC0001312	0.00015603058199406403	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	9
BGC0001393	BGC0001290.1	0.17849613492621222	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0001312	BGC0001290.1	0.1269191402251791	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0000463	BGC0001312	0.4213012341916805	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001562	BGC0001569	0.2754909873553941	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001393	BGC0001569	0.0976809557273366	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001312	BGC0001569	0.11898669396110542	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001657	BGC0001657	0.31996329794206313	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	15
BGC0000378	BGC0001569	0.07255422062724293	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001657	BGC0001569	0.02398741643727879	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000310	BGC0001569	0.09842931937172773	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001562	BGC0001561	0.2754909873553941	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001393	BGC0001561	0.0976809557273366	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000463	BGC0000447.1	0.19244248057290858	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	18
BGC0001312	BGC0001561	0.11898669396110542	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000378	BGC0001561	0.07255422062724293	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000342	BGC0001214.3	0.09064885496183199	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001657	BGC0001561	0.02398741643727879	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000310	BGC0001561	0.09842931937172773	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001562	BGC0001214.3	0.12133440947000271	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001393	BGC0001214.3	0.23717498243148277	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001312	BGC0001214.3	0.19319344933469806	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0000463	BGC0001214.3	0.010970592716745366	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001393	BGC0001628.1	0.05657062543921293	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0000413	BGC0001214.3	0.000688349681638269	-0.42584167424931757	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000378	BGC0001628.1	0.04337650179435169	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0000306	BGC0001628.1	0.02543478260869565	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001312	BGC0001565	0.19344933469805525	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	11
BGC0000413	BGC0000386.4	0.07416967819652381	-0.18562329390354873	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	5
BGC0000463	BGC0001565	0.15678805424348619	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	11
BGC0001657	BGC0001565	0.002228339231878355	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	11
BGC0001131	BGC0001131	0.06697195191757298	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000306	BGC0001131	0.24065217391304347	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000378	BGC0001131	0.1260727102512092	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000342	BGC0000312	0.2228053435114504	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001393	BGC0001582	0.16865776528461007	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	12
BGC0001341	BGC0000312	0.6420818257723351	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001312	BGC0001582	0.10747185261003071	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	12
BGC0000413	BGC0001189	0.16864567200137667	-0.4956020624810434	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	2
BGC0001393	BGC0000312	0.04427266338721011	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001312	BGC0000312	0.04708290685772772	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000378	BGC0000312	0.15384615384615383	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000463	BGC0001582	0.17232972725887546	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	12
BGC0000342	BGC0001214.1	0.09064885496183199	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001312	BGC0000323	0.09058341862845445	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	9
BGC0001393	BGC0001214.1	0.09205903021784963	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001562	BGC0001214.1	0.12133440947000271	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001312	BGC0001214.1	0.14790174002047085	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0000463	BGC0000323	0.07069937528569248	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	9
BGC0001341	BGC0001393	0.028666852212635655	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001393	BGC0001393	0.8383696416022487	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001312	BGC0001393	0.14790174002047085	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0000342	BGC0001341	0.0715648854961832	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	2
BGC0000378	BGC0001393	0.03666718676860664	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001393	BGC0001562	0.0976809557273366	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000413	BGC0001214.1	0.000688349681638269	-0.42584167424931757	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001562	BGC0001562	0.2754909873553941	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000310	BGC0001214.1	0.0002617801047120218	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	7
BGC0001341	BGC0001341	0.807959922070693	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	2
BGC0001312	BGC0001562	0.11898669396110542	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000378	BGC0001562	0.07255422062724293	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000463	BGC0001393	0.0632332774645741	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001393	BGC0001341	0.5439212930428671	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	2
BGC0001192	BGC0001192.2	0.8215128383067315	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	3
BGC0000378	BGC0001341	0.05351848962396629	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001695	BGC0001341	0.10170684497624496	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001657	BGC0001562	0.02398741643727879	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001393	BGC0001469	0.0976809557273366	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0000310	BGC0001562	0.09842931937172773	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001312	BGC0000305	0.5803480040941658	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	11
BGC0001657	BGC0000461	0.24052955826451694	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	16
BGC0001131	BGC0000437	0.15340583858042361	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	9
BGC0000463	BGC0000305	0.2415054091116866	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000342	BGC0001250	0.09112595419847329	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001341	BGC0001250	0.05315892012246034	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001312	BGC0000374.2	0.028403275332650958	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001393	BGC0001250	0.06711173576950105	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0000378	BGC0000374.2	0.024964893119051326	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001192	BGC0000437	0.17918112421929214	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	9
BGC0001562	BGC0001250	0.05138552596179714	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001312	BGC0001250	0.04887410440122826	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001131	BGC0001250	0.054665140240412136	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0000378	BGC0001250	0.029801841160867527	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0000306	BGC0001250	0.04152173913043479	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0000413	BGC0000424.1	0.2293925314059542	-0.3560812860175917	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001312	BGC0000374.3	0.16427840327533266	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001695	BGC0001250	0.03360900932606018	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0000463	BGC0001250	0.029102544568032906	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001312	BGC0000399.3	0.7177584442169908	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	10
BGC0001657	BGC0001250	0.03368724603486697	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000413	BGC0001250	0.1321631388745483	0.05793145283591143	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001192	BGC0001250	0.026509368494101314	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001312	BGC0001414	0.018167860798362318	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	11
BGC0000310	BGC0001250	0.025	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000463	BGC0000399.3	0.47447813499923797	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001312	BGC0001792.1	0.14943705220061412	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0000463	BGC0001792.1	0.053481639494133745	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0001312	BGC0001532	0.09390992835209828	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	13
BGC0000463	BGC0000385	0.0006094773731525053	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000310	BGC0001792.1	0.22342931937172777	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	8
BGC0001341	BGC0001768	0.2605065404954077	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	4
BGC0001562	BGC0000378	0.040086090933548556	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000463	BGC0001532	0.07603230230077708	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	13
BGC0000378	BGC0000378	0.09658293025432983	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	4
BGC0000310	BGC0000385	0.0034031413612565305	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	11
BGC0001562	BGC0001768	0.011299435028248579	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	4
BGC0001393	BGC0001768	0.0688685874912157	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	4
BGC0000463	BGC0001806	0.12235258266036868	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	20
BGC0001312	BGC0001768	0.11591606960081885	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
BGC0000378	BGC0001768	0.22562022156342637	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	3
BGC0000342	BGC0000342	0.5295801526717557	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001695	BGC0001768	0.037832130916769326	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	3
BGC0001312	BGC0000332	0.11898669396110544	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	3
BGC0001341	BGC0000342	0.8210409128861675	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0000413	BGC0000378	0.012738853503184705	-0.09189468249870934	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	4
BGC0001312	BGC0000374.1	0.028403275332650958	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	6
BGC0001562	BGC0000342	0.07317729351627655	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	1
BGC0001393	BGC0000342	0.05375966268446941	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	0
